kind,unit,label,method,site,mean_weight,sd_weight,n_edges_on_skeleton,mean_weight_on_skeleton,strength_skeleton,within_module_mean,strength_lioness,sum_tu,river_basin,stream_order,UDF,lat,lon,n_det,mean_log,basin
conc,Danube_Lower,Lower Danube,bonobo,EUS_333,0.175993027311403,0.31272518392491,440,0.731150583020547,344.486503843704,0.742499177759675,357.712634142587,1.31039402460419,Danube,7.0,6.3,45.186667,20.311667,68,0.36881501151675394,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_335,0.186504644355178,0.313564471606216,440,0.739649824840955,348.250150336308,0.752505390641599,357.324015199039,8.435694440415716,Danube,6.0,4.2,44.87828,19.08364,54,0.19892547817665504,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_336,0.189588509622909,0.311557365486684,440,0.743654635377725,350.057373074266,0.756780992553741,359.244729329921,2.636951026196499,Danube,7.0,4.2,44.795899,20.400902,50,0.13281902371366136,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_337,0.183600095626243,0.318266916718328,440,0.744807093000183,350.586822820018,0.758130062504359,362.475552428114,0.9559112418742881,Danube,1.0,0.0,44.702222,20.955833,63,0.2585362200419216,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_338,0.186331972837807,0.298286675970286,440,0.724477888182929,341.675074461641,0.739833798187678,325.099368558062,0.9408177949297143,Danube,6.0,0.0,43.7236111,21.373333,55,0.2276135794646571,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_339,0.182688642876449,0.303788712367613,440,0.722571306936535,340.933300811578,0.737051846662535,321.104805167015,9.553333826816596,Danube,6.0,,44.601944,21.086389,57,0.28551111779641447,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_340,0.189221950015136,0.313931394704534,440,0.744923863486176,350.744414004533,0.758051289200995,362.328067614069,0.4551191329159747,Danube,8.0,9.4,44.814167,21.330556,57,0.18997827266759842,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_341,0.191811569012821,0.313647845640514,440,0.745138967122886,350.757569773986,0.757954596356083,366.958908337583,6.34254660284159,Danube,8.0,14.2,44.263889,22.679722,49,0.1412343229742989,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_342,0.194642033733049,0.296613804083088,440,0.722965939884931,340.916869184838,0.736937967563332,312.489506762842,32.29465918042376,Danube,3.0,0.0,44.1630556,22.621388,46,0.13315045866184075,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_343,0.190384686159729,0.314334338392794,440,0.746204692648561,351.309583330141,0.758673665940642,373.854886531323,0.8563272268275609,Danube,8.0,14.2,44.165278,22.785278,52,0.15864364242076615,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_344,0.176335018825803,0.298248736746596,440,0.714860197493933,337.05909603999,0.726170298780677,315.999490775222,8.765844440844702,Danube,5.0,76.7,43.702407,24.455325,65,0.3628975871291429,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_345,0.190420370139195,0.310105482707086,440,0.733287934212928,345.567328875441,0.744214355199704,348.269345015276,5.619926932436737,Danube,5.0,80.1,43.612455,25.589367,50,0.14816499802624378,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_346,0.179129632467059,0.313265058079897,440,0.71931475292658,339.388874471413,0.731130975162449,337.179623964749,11.880271823027797,Danube,5.0,61.0,43.834338,25.936214,80,0.5484657255901723,Danube
conc,Danube_Lower,Lower Danube,bonobo,EUS_347,0.183832364735505,0.319045962679943,440,0.749294104022126,352.615684746361,0.762023992510188,376.503932120268,14.13574480125461,Danube,8.0,0.8,43.91078,26.066822,55,0.21123011308194606,Danube
