unit,site,strength_lionessglasso,strength_bonobo_pyskel,mean_weight_bonobo,sum_tu,UDF,stream_order,basin,n_det,mean_log
Sec_Danube_Lower,EUS_370,270.1725219441548,817.7528577414281,0.1927372887103564,0.6409113351663563,,3.0,Danube,62,0.3028591509009085
Sec_Danube_Middle,EUS_082,805.907136842343,656.0906705051611,0.1640756688622916,1.19554240414162,16.6,4.0,Danube,85,0.6118970641582959
Sec_Danube_Middle,EUS_103,332.64241065366167,683.0484343147803,0.1990447058155423,0.0891127391947068,0.0,2.0,Danube,24,-0.0816246724874781
Sec_Danube_Middle,EUS_104,426.8978624449872,669.5901532489165,0.1858383978000539,0.181945815125964,,2.0,Danube,35,0.030156097558925
Sec_Danube_Middle,EUS_106,483.7037959052712,666.0499569579933,0.1592768986351543,0.8951632811250023,15.9,3.0,Danube,72,0.4375677244794489
Sec_Danube_Middle,EUS_107,369.73508918377615,677.5529138580829,0.1909848088847749,0.5719985786078498,0.0,1.0,Danube,29,-0.0291877181011162
Sec_Danube_Middle,EUS_108,934.8521329489768,679.9896729585698,0.1609269970646954,2.512309309806107,13.7,4.0,Danube,85,0.7313252392781769
Sec_Danube_Middle,EUS_109,457.0701424367566,677.8974385689378,0.1657724296488593,1.5120992663951274,7.6,3.0,Danube,85,0.5981336399423118
Sec_Danube_Middle,EUS_110,602.1546971169599,703.3281352449654,0.1899542752547625,2.280295374469408,7.6,3.0,Danube,101,0.8758985941923136
Sec_Danube_Middle,EUS_167,248.1491730831408,670.2509258870933,0.1882248632247966,0.1084478723542692,6.8,7.0,Danube,49,0.1155060177148906
Sec_Danube_Middle,EUS_169,308.4299495785908,677.8161150768381,0.1946579678333249,0.0861222238414714,10.4,5.0,Danube,34,0.006131157035855
Sec_Danube_Middle,EUS_170,559.6533250911596,657.7868788106811,0.1670095923342767,0.6328253346440894,35.2,4.0,Danube,90,0.5583049649516597
Sec_Danube_Middle,EUS_178,378.9949081478269,659.5709454529103,0.1709702808843065,0.4273800833909387,6.8,7.0,Danube,61,0.2815804190134281
Sec_Danube_Middle,EUS_180,369.226011816471,675.1521505154565,0.1785011466403576,0.3544014581473118,10.4,5.0,Danube,44,0.1226848195712288
Sec_Danube_Middle,EUS_181,787.9315609549194,746.2141752904962,0.3011114735526686,1.611080861706665,9.2,7.0,Danube,144,1.4102464814797293
Sec_Danube_Middle,EUS_310,190.432589209305,675.2819241197175,0.1822419423097693,0.1788624215444959,8.7,7.0,Danube,45,0.1406141860662387
Sec_Danube_Middle,EUS_311,354.5311210893247,674.3007547592459,0.1676135715612415,0.2940935566853725,0.0,1.0,Danube,80,0.539881612012347
Sec_Danube_Middle,EUS_312,362.732829186573,682.0600783226175,0.1767574033304304,0.5685715218487053,16.6,4.0,Danube,89,0.602276060616423
Sec_Danube_Middle,EUS_313,393.0895097868756,684.2261083269173,0.1784212756556676,69.89882587979923,27.7,6.0,Danube,88,0.6780227573576403
Sec_Danube_Middle,EUS_314,243.70701056175045,674.1292571209491,0.1754757501880619,114.27705383323,9.7,7.0,Danube,51,0.2215878696363163
Sec_Danube_Middle,EUS_315,211.75543915988268,674.8800101638436,0.1809603799735863,551.9792934054989,6.1,7.0,Danube,48,0.1599797425371762
Sec_Danube_Middle,EUS_316,196.89949887323783,672.1598641663292,0.1761039694053262,260.0192509680367,6.1,7.0,Danube,59,0.2442028183047365
Sec_Danube_Middle,EUS_317,252.40230922188385,673.1269058163512,0.1698206368291669,0.3063140971248509,14.6,6.0,Danube,73,0.4252660708487765
Sec_Danube_Middle,EUS_318,195.74988046094396,674.5261517468796,0.17303017037605,58.60654356781584,6.6,7.0,Danube,62,0.2828741630030053
Sec_Danube_Middle,EUS_319,183.66074574173163,672.2793614107837,0.1732952839990643,0.2014510427788744,0.6,6.0,Danube,62,0.2746303463964916
Sec_Danube_Middle,EUS_320,228.9030241604921,666.2534280716635,0.1729074113864492,0.1987215263741839,3.2,4.0,Danube,60,0.2908773833692191
Sec_Danube_Middle,EUS_321,342.6854798977903,668.1180196082271,0.1693843527930348,0.4409886326647977,7.2,4.0,Danube,77,0.4782506344128578
Sec_Danube_Middle,EUS_322,185.6221634498192,674.200651629686,0.1723470543748519,0.2632304333954603,6.7,7.0,Danube,63,0.3163359531295401
Sec_Danube_Middle,EUS_323,170.2502600067545,675.5705810980742,0.1775280704362655,0.2741027156753699,6.7,7.0,Danube,56,0.2048123602510777
Sec_Danube_Middle,EUS_324,140.1663470831605,677.8407217628297,0.174745754893642,84.59688021194172,7.1,7.0,Danube,62,0.2805432355576886
Sec_Danube_Middle,EUS_325,161.68602253405516,674.7066376361606,0.1745512549652065,81.6326053004556,0.1,3.0,Danube,63,0.2925466548276732
Sec_Danube_Middle,EUS_326,136.46689609760438,679.7761626304623,0.1764587488569924,0.1126744925228162,7.2,7.0,Danube,59,0.2326890705106963
Sec_Danube_Middle,EUS_327,126.17579596055174,681.899279688856,0.1786326735048712,0.1226989621963079,7.2,7.0,Danube,57,0.2215340382359146
Sec_Danube_Middle,EUS_328,150.86639893722688,675.337382088211,0.1761261395035324,243.14766131451063,7.5,7.0,Danube,61,0.2667678618273024
Sec_Danube_Middle,EUS_329,146.13381204872658,675.0919511542997,0.1774982320909107,364.59429848844223,7.3,7.0,Danube,61,0.2431032117897902
Sec_Danube_Middle,EUS_330,175.01959594344518,675.7868514186288,0.1866611135715925,109.97983223039108,5.5,7.0,Danube,46,0.1186304898933488
Sec_Danube_Middle,EUS_331,152.64317311709826,676.282402332894,0.1840944011744961,0.0689501956189162,5.6,8.0,Danube,51,0.1217306921866844
Sec_Danube_Middle,EUS_335,430.54993387410207,654.9254161485774,0.1697914230294261,8.435694440415716,4.2,6.0,Danube,54,0.198925478176655
Sec_Danube_Middle,EUS_352,477.5776992192198,688.1209156516719,0.1573852583294543,20.101829819234418,,2.0,Danube,50,0.2481283839461021
Sec_Danube_Middle,EUS_353,396.40158110622656,690.6294398292434,0.1690949598728366,1.6877675456980268,,2.0,Danube,38,0.0735457312092364
Sec_Danube_Middle,EUS_354,299.3074079834215,688.8935097030251,0.1850874208473039,1.567630243037741,0.0,2.0,Danube,33,-0.0255630489838601
Sec_Danube_Middle,EUS_355,1113.9667783229404,705.7326491369952,0.1753810115488961,4.686918958326008,,3.0,Danube,94,0.8805519682236888
Sec_Danube_Middle,EUS_371,434.5927186396099,657.9810261475288,0.1729722177090833,1.0506686596018544,0.0,2.0,Danube,52,0.1947726785046968
Sec_Danube_Upper,EUS_001,600.5682216477036,671.2210378718576,0.2137735690514572,0.6543876470893533,5.0,5.0,Danube,46,0.2399210431742569
Sec_Danube_Upper,EUS_002,352.2816610875233,675.598367997676,0.2329559906965797,0.2282396502959663,0.6,3.0,Danube,39,0.0675850872649696
Sec_Danube_Upper,EUS_003,739.8565394021725,747.0893506757708,0.280300808764325,0.8078211992227314,5.0,5.0,Danube,111,1.0753424926533413
Sec_Danube_Upper,EUS_004,431.7461247258465,675.5527097713248,0.2206274267799123,0.1879774602229171,5.0,5.0,Danube,68,0.3580368919677585
Sec_Danube_Upper,EUS_005,430.1447065095549,676.6809683505387,0.2210945931277219,0.0591440399671691,0.0,1.0,Danube,68,0.366424626264023
Sec_Danube_Upper,EUS_006,289.4191000104731,679.8595630082145,0.2439897767819848,0.0062338093908522,,1.0,Danube,31,0.0125586786991586
Sec_Danube_Upper,EUS_007,141.57391076505664,699.7795384835345,0.2629079318572498,0.0804464095353781,0.5,2.0,Danube,18,-0.100144845220468
Sec_Danube_Upper,EUS_008,129.88718236387342,698.0283960811103,0.2651216268015564,0.0847408510447066,0.5,3.0,Danube,19,-0.1215770061913796
Sec_Danube_Upper,EUS_009,218.46955735896285,688.5501476981036,0.2486731597514169,0.0921907132247131,0.0,1.0,Danube,26,-0.0350278636722289
Sec_Danube_Upper,EUS_010,118.5616154643315,707.6850466426251,0.278089940779803,0.0782217572427017,,2.0,Danube,7,-0.2355685998114919
Sec_Danube_Upper,EUS_011,103.27751024841416,708.3268680053221,0.2734480007157597,0.0830186088206453,0.5,3.0,Danube,9,-0.205625354342513
Sec_Danube_Upper,EUS_012,158.3343444667649,696.5140107641566,0.262937303816767,0.0841130301786995,5.0,5.0,Danube,20,-0.1257134549180765
Sec_Danube_Upper,EUS_013,114.18248481116956,706.6553155054386,0.2742922486454806,0.0791187203392013,0.6,3.0,Danube,9,-0.2123985637316864
Sec_Danube_Upper,EUS_051,250.7240016807456,690.3689481186128,0.2499617460172659,0.1515539305627627,0.0,1.0,Danube,20,-0.1279176556217348
Sec_Danube_Upper,EUS_096,454.10161851572417,661.8625125634871,0.2261041027607411,0.086491685368052,0.0,1.0,Danube,55,0.2646412414624924
Sec_Danube_Upper,EUS_097,386.1575805872205,672.1579591672988,0.2271822850345552,0.0974516870284118,9.1,5.0,Danube,59,0.3001885849417092
Sec_Danube_Upper,EUS_105,720.6072293938772,662.9577388001982,0.2165804995208636,0.892971738652728,15.9,3.0,Danube,66,0.3546267092703947
Sec_Danube_Upper,EUS_164,599.2491485312797,676.5442058052234,0.2301911379009978,1.2761637069509406,3.1,6.0,Danube,88,0.5759704067589402
Sec_Danube_Upper,EUS_165,213.65591288226312,689.3237910960376,0.2537871898008201,0.0239088436136679,4.1,6.0,Danube,26,-0.0888293564875205
Sec_Danube_Upper,EUS_166,174.55091516639962,689.7381266314125,0.2535643633287109,0.1099446572163278,0.4,4.0,Danube,28,-0.0700958131219491
Sec_Danube_Upper,EUS_168,269.15889121684233,675.7404837173108,0.2360767732393306,0.0383760023977255,3.9,6.0,Danube,46,0.1394662234395867
Sec_Danube_Upper,EUS_171,209.7175860315808,685.623998620915,0.2584262173430112,0.0102867427762258,4.0,4.0,Danube,22,-0.111974258497732
Sec_Danube_Upper,EUS_172,213.37111544076905,681.222728372032,0.2493727883812892,0.0696955200367606,8.0,5.0,Danube,36,-0.0069528964394535
Sec_Danube_Upper,EUS_176,767.5683752569892,665.6936971823887,0.2128675463728795,1.351285752931794,3.1,6.0,Danube,68,0.4511538984734635
Sec_Danube_Upper,EUS_177,701.6353951081483,718.87080947144,0.2531767530506478,0.5898996501759942,5.0,5.0,Danube,103,0.8589389663923567
Sec_Danube_Upper,EUS_179,397.4966767845336,669.9548560181416,0.2260755303204024,0.3813371589568556,4.6,6.0,Danube,56,0.2381947409808322
Sec_Danube_Upper,EUS_182,479.6236353040572,671.0116761898984,0.2204167809955928,0.4469779027641194,19.4,4.0,Danube,66,0.3560769055313901
Sec_Danube_Upper,EUS_183,776.3804945373437,828.8343814860975,0.4521171677769768,50.65496712127074,8.0,5.0,Danube,149,1.6807368249151426
Sec_Danube_Upper,EUS_301,289.8870662578849,679.1029579377857,0.2328852060799943,0.7523148487659005,20.9,5.0,Danube,47,0.1184273576226897
Sec_Danube_Upper,EUS_302,187.8960174352954,688.9489636908529,0.2349559027066967,0.0351528330719566,16.3,6.0,Danube,50,0.1264096513225632
Sec_Danube_Upper,EUS_303,195.78741530833975,692.2141460770009,0.2317443981698017,0.1156856877397936,10.9,6.0,Danube,54,0.1973372325674603
Sec_Danube_Upper,EUS_304,297.05862669222284,687.9078990439332,0.2283282059696371,0.1600128209058328,11.1,6.0,Danube,66,0.3288995955227553
Sec_Danube_Upper,EUS_305,244.22521599419437,693.8041593677923,0.2462343430781651,0.3705907482602412,5.8,6.0,Danube,26,-0.0331865090794
Sec_Danube_Upper,EUS_306,198.33120690501968,688.2183371537941,0.2379016155772888,0.0297786932611439,7.6,7.0,Danube,44,0.1077994161711609
Sec_Danube_Upper,EUS_307,167.25386607591355,695.4886721670323,0.2368280349134208,0.2799155077823012,8.4,7.0,Danube,42,0.1089218713996816
Sec_Danube_Upper,EUS_308,168.8898635812975,693.4874152726679,0.2385997874159125,0.177479461922735,7.8,7.0,Danube,44,0.0944402197365781
Sec_Danube_Upper,EUS_309,201.1732809855384,690.9547740556532,0.2344459257818525,0.2896641219745215,7.9,7.0,Danube,45,0.1419727310932405
Sec_Danube_Upper,EUS_334,428.13556934190433,665.3789402182384,0.2258054919062976,0.017159129783427,4.1,6.0,Danube,54,0.1998054388537671
Sec_Danube_Upper,EUS_376,234.2088158949336,708.8377183791547,0.2315548495232572,0.0404453677832677,0.0,1.0,Danube,35,0.063539590833426
Sec_Danube_Upper,EUS_377,250.46362870314792,703.3037408539564,0.2292260012610131,0.0857355272939193,0.0,1.0,Danube,34,0.1065807981504425
Sec_Danube_Upper,EUS_378,203.1154272073722,694.6264838770988,0.2569114625965037,0.0095089450593132,0.0,1.0,Danube,16,-0.1376430137768247
Sec_Danube_Upper,EUS_379,528.8891352311756,670.6642289779339,0.2224839565932899,0.2009014603599968,,1.0,Danube,47,0.2404655756188376
Sec_Danube_Upper,EUS_380,285.62956402650616,700.5538117223398,0.2279666057177285,0.1194765390258627,0.0,1.0,Danube,40,0.1282250765799579
Sec_Elbe_Lower,EUS_024,282.71666153165705,813.1590441135085,0.263756578264051,0.0367902826107817,19.0,2.0,Elbe,29,-0.0192027478896275
Sec_Elbe_Lower,EUS_026,139.41515087731753,845.4517422163475,0.3006706595052877,0.0057757974514418,0.0,1.0,Elbe,2,-0.254867323893641
Sec_Elbe_Lower,EUS_027,713.020239438513,782.3482241259313,0.2177678425720027,64.94661588896811,16.1,5.0,Elbe,53,0.2873010983668432
Sec_Elbe_Lower,EUS_028,337.2005946456526,817.2927364975124,0.2633441960485905,3.61972841272898,0.0,1.0,Elbe,28,-0.0326872671968758
Sec_Elbe_Lower,EUS_029,1156.2723649314314,892.9609086080559,0.3102936153317996,275.79808106569726,95.1,1.0,Elbe,129,1.597442538946882
Sec_Elbe_Lower,EUS_030,819.2528119922655,780.1513162772045,0.2076565317999907,27.61646832768569,30.8,4.0,Elbe,74,0.5851288224679
Sec_Elbe_Lower,EUS_035,348.7060675397028,813.34800592324,0.2622040730952167,20.80335177167977,45.1,1.0,Elbe,27,-0.042895678888505
Sec_Elbe_Lower,EUS_036,284.0691594752112,824.1586291912812,0.2752149711858296,1.2880826980781828,31.8,3.0,Elbe,24,-0.094075651486515
Sec_Elbe_Lower,EUS_052,138.98660049794765,844.6211841791124,0.2996510042531923,0.0236294344541446,0.0,1.0,Elbe,5,-0.2606384765523252
Sec_Elbe_Lower,EUS_053,899.2567209088294,778.006759617819,0.213750548515526,40.50434212060182,30.8,4.0,Elbe,85,0.5822333977097605
Sec_Elbe_Lower,EUS_101,1041.3833655838812,807.0827581340267,0.2478853600668175,46.49781475299314,51.1,5.0,Elbe,114,1.1038849132101347
Sec_Elbe_Lower,EUS_156,599.1295073143524,778.1669146162471,0.2254918555960673,1.654716554365198,19.3,5.0,Elbe,74,0.4775092759334867
