cmpdname,SMILES
Desphenyl chloridazon,Nc1cn[nH]c(=O)c1Cl
Di-n-butyl phosphate,CCCCOP(=O)(O)OCCCC
Diacetylethylenediamine,CC(=O)NCCNC(C)=O
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
Dichlorprop,CC(Oc1ccc(Cl)cc1Cl)C(=O)O
Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
Dicyclohexyl sulfosuccinate,O=C(CC(C(=O)OC1CCCCC1)S(=O)(=O)O)OC1CCCCC1
Dicyclohexylurea,O=C(NC1CCCCC1)NC1CCCCC1
Diethofencarb,CCOc1ccc(NC(=O)OC(C)C)cc1OCC
Diethyleneglycolmonomethylether,COCCOCCO
Difenoconazole,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
Dimethachlor CGA369873,Cc1cccc(C)c1NC(=O)CS(=O)(=O)O
Dimethachlor ESA,COCCN(C(=O)CS(=O)(=O)O)c1c(C)cccc1C
Dimethachlor OA_peak_b,COCCN(C(=O)C(=O)O)c1c(C)cccc1C
Dimethenamid,COCC(C)N(C(=O)CCl)c1c(C)csc1C
Dimethenamid ESA,COCC(C)N(C(=O)CS(=O)(=O)O)c1c(C)csc1C
Dimethenamid OA,COCC(C)N(C(=O)C(=O)O)c1c(C)csc1C
Dimethoate,CNC(=O)CSP(=S)(OC)OC
Dimethyl-5-sulfoisophthalate,COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)O)c1
Dimethylaminophenazone,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
Dimoxystrobin,CNC(=O)/C(=N/OC)c1ccccc1COc1cc(C)ccc1C
Dinoseb,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1
Diphenyl phosphate,O=P(O)(Oc1ccccc1)Oc1ccccc1
Diuron,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
Duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
EDDP,CC=C1N(C)C(C)CC1(c1ccccc1)c1ccccc1
Ebastin,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1
Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
Enrofloxacin,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
Ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1
Epoxiconazole,Fc1ccc([C@@]2(Cn3cncn3)O[C@H]2c2ccccc2Cl)cc1
Eprosartan,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1
Ethofumesate,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C
Fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
Fenuron,CN(C)C(=O)Nc1ccccc1
Fipronil,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F
Fipronil desulfinyl,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1C(F)(F)F
Fipronil sulfide,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1SC(F)(F)F
Fipronil sulfone,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
Flufenacet,CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1
Flumequine,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23
Flumioxazin,C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21
Fluoxastrobin,CO/N=C(/C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F
Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
Flurtamone,CNC1=C(c2cccc(C(F)(F)F)c2)C(=O)C(c2ccccc2)O1
Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1
Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
Gabapentin,NCC1(CC(=O)O)CCCCC1
Gabapentin-Lactam,O=C1CC2(CCCCC2)CN1
Genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
Glimepiride,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
Guanylurea,N=C(N)NC(N)=O
Harman,Cc1nccc2c1[nH]c1ccccc12
Hexa(methoxymethyl)melamine,COCN(COC)c1nc(N(COC)COC)nc(N(COC)COC)n1
Hexadecylpyridinium,CCCCCCCCCCCCCCCC[n+]1ccccc1
Hexadecyltrimethylammonium,CCCCCCCCCCCCCCCC[N+](C)(C)C
Hexazinone,CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C
Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
Icaridin,CCC(C)OC(=O)N1CCCCC1CCO
Ifosfamide,O=P1(NCCCl)OCCCN1CCCl
Imazalil,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl
Imazapyr,CC(C)C1(C)N=C(c2ncccc2C(=O)O)NC1=O
Imidacloprid,O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1
Imidacloprid-guanidine,NC1=NCCN1Cc1ccc(Cl)nc1
Imidacloprid-urea,O=C1NCCN1Cc1ccc(Cl)nc1
Indole-3-acrylic acid,O=C(O)C=Cc1c[nH]c2ccccc12
Irgarol,CSc1nc(NC2CC2)nc(NC(C)(C)C)n1
Isophorone diamine,CC1(C)CC(N)CC(C)(CN)C1
Isophthalic acid,O=C(O)c1cccc(C(=O)O)c1
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1
Isoxaben,CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1
Ketamine,CNC1(c2ccccc2Cl)CCCCC1=O
Ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
Kresoxim-methyl,CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C
Labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
Lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
Lauric isopropanolamide,CCCCCCCCCCCC(=O)NCC(C)O
Lauryl diethanolamide,CCCCCCCCCCCC(=O)N(CCO)CCO
Lenacil,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C
Lincomycin,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1
Loperamide,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
Losartan,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
