chemical_name,alt_names,casrn,inchikey,mdl_value_ng_L,n_sources,all_reported_values_ng_L,limit_types_reported,source_files
EDDP,,30223-73-5,AJRJPORIQGYFMT-PVOVUMCXSA-N,5.0,4,5.0; 15.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Efavirenz,,,XPOQHMRABVBWPR-UHFFFAOYSA-N,1.0,1,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected)
Efavirenz,,154598-52-4,XPOQHMRABVBWPR-ZDUSSCGKSA-N,1.0,1,1.0,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Emamectin B1a,,,CXEGAUYXQAKHKJ-NSBHKLITSA-N,2.0,1,2.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected)
Emamectin B1a,,119791-41-2,CXEGAUYXQAKHKJ-COFQVFHOSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Enalapril,,75847-73-3,GBXSMTUPTTWBMN-XIRDDKMYSA-N,2.0,3,2.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Endosulfan sulfate,,1031-07-8,AAPVQEMYVNZIOO-UHFFFAOYSA-N,25.906121692122426,1,25.906121692122426,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Endrin,,72-20-8,DFBKLUNHFCTMDC-UHFFFAOYSA-N,88.87698531648469,1,88.87698531648469,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Endrin aldehyde,,7421-93-4,HCTWZIFNBBCVGM-UHFFFAOYSA-N,88.31447275119055,1,88.31447275119055,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Endrin ketone,,53494-70-5,IZHZFAQWVKBTSL-UHFFFAOYSA-N,16.21104240521335,1,16.21104240521335,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
