"kind","unit","label","method","site","mean_weight","sd_weight","n_edges_on_skeleton","mean_weight_on_skeleton","strength_skeleton","within_module_mean"
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_096",0.0849833086096727,0.861559762239218,272,0.52333150416722,238.981315464317,0.514652616116396
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_097",0.0975106514730689,0.847007705801061,272,0.666478651916803,213.553144492829,0.672323200314389
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_105",-0.0315504822715217,1.45580098224731,272,0.436695394712184,291.088280040153,0.452466642683759
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_164",0.102244697713453,1.27633602586879,272,0.596627753522548,256.07335500972,0.642865029188401
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_165",0.253388214394655,0.599461471501548,272,0.667606189433092,226.610838142394,0.663985322153064
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_166",0.271968201130427,0.425237424239728,272,0.741211752492437,212.827202224445,0.734871122862193
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_168",0.160765868547529,0.459454741759767,272,0.7141317585742,203.429004356998,0.713817616435307
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_171",0.300358110608775,0.451441256439436,272,0.753724831906895,219.083314682533,0.741744966252988
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_172",0.24914283419915,0.412120304232611,272,0.713360622372942,207.600300110099,0.718127133089933
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_176",-0.128753655783531,1.82662222948652,272,0.525756355631671,304.102075611161,0.932569060399482
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_177",0.367526100301032,1.8411889846539,272,1.26076158320194,465.626392115374,1.24058834038014
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_179",0.0588836908108166,0.740212486245431,272,0.611732315915365,208.321840365403,0.595294956946911
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_182",0.0201221188644852,0.893168103174297,272,0.548001076120987,222.265256471797,0.510926735610676
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_183",3.9985699521079,4.57931324174886,272,3.49992012765247,962.720198868917,3.01997917863066
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_301",0.098047133874138,0.785332691517397,272,0.618669568667251,252.82975978848,0.566571273632334
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_302",0.154226544497443,0.507862151689793,272,0.79401839839517,217.713867170997,0.807180136159167
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_303",0.136625749907365,0.537200705062713,272,0.803782544092877,221.916782162834,0.81146552770395
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_304",0.115395753221458,0.897527651766503,272,0.714679406241526,225.069547391984,0.720288551652222
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_305",0.164958722390525,0.901398086648177,272,0.75243850264106,223.350344928231,0.747672650899822
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_306",0.166954369710317,0.654860920819396,272,0.765762495351585,214.491554088381,0.772201593952045
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_307",0.161004638095068,0.567048362005061,272,0.788444861774802,222.113191276252,0.820223240302284
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_308",0.176672563622646,0.520765592965513,272,0.793087363662761,221.791606776774,0.802022166691142
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_309",0.148380555801263,0.591743753468504,272,0.743969464490296,222.214146094392,0.752132011772626
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_334",0.0355446156606705,0.966555726729313,272,0.697526610618188,209.226604600369,0.728984270480416
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_376",0.0826379232087026,1.07541135514352,272,0.854010413043086,238.453715609614,0.870590595093759
"tu","Sec_Danube_Upper","Upper Danube (section)","lioness","EUS_377",0.0520212047153164,1.17635479829811,272,0.886481223774275,242.218940517493,0.918783367116734
